Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
" Everyone has moments when they get tight .	O O O O O O O O O
Police said the 111 passengers and six crew on board the ferry Trident Seven , owned by France 's Emeraud line , were rescued by a variety of private and commercial boats after fire broke out in the engine room soon after it left port .	O O O O O O O O O O O O B-MISC E-MISC O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
15. Moldova 8.24	O S-LOC O
Olimpija won 4-3 on penalties .	O O O O O O
Bondholders and other unsecured non-trade creditors will receive warrants four about 2.2 million shares when the company 's market capitalization reaches $ 20 million .	O O O O O O O O O O O O O O O O O O O O O O O O O
Atletico Mineiro 5 2 0 3 6 7 6	O O O O O O O O O
The teams meet each other once in each	O O O O O O O O
The press conference replaces Matos 's scheduled appearance at an IMF-hosted seminar Thursday on Venezuela 's economic reform program , Venezuelan Agenda .	O O O O S-PER O O O O O S-MISC O O O S-LOC O O O O O B-MISC E-MISC O
McCullough had adopted the boy , who was the grandson of her late husband , shortly after his birth but neighbours said they often had loud arguments .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
In Europe , the service is available in Germany , France and Britain .	O S-LOC O O O O O O S-LOC O S-LOC O S-LOC O
Zemun 3 0 2 1 2 3 2	O O O O O O O O
The IOC tender had " a bearish impact , but not a great impact , " one German player said .	O O O O O O O O O O O O O O O O O S-MISC O O O
TABAK 6700.00 6700.00 1000 6700.000	O O O O O
Outright gas oil prices were notionally softer as the NYMEX heating oil contract headed lower , and following news that the Indian Oil Corp ( IOC ) had issued a tender to buy only 120,000 tonnes of high speed diesel for October .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .	S-MISC O O B-PER E-PER O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O
-- U.S. Municipal Desk , 212-859-1650	O O O O O O
-- Colombo newsroom tel 941-434319	O S-LOC O O O
2. Anders Olofsson ( Sweden ) / Luciano della Noce ( Italy ) Ennea	O B-PER E-PER O S-LOC O O B-PER I-PER E-PER O S-LOC O S-MISC
" Disperse , abstain from forming groups and help maintain order , " army officers , who has enforced a loose curfew since the riots , told the crowd through loudspeakers .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
But there was no repeat of the ugly scenes that used to scar the street festival , and police praised the crowds over the two days of festivities as good-natured .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Selected result from first round	O O O O O
DETROIT 47 84 .359 27 1/2	O O O O O O
Trade balance ( million markka ) :	O O O O O O O
Palestinians end four-hour strike .	S-MISC O O O O
AKRON , Ohio 1996-08-23	S-LOC O S-LOC O
Cesena 3 Roma 1	O O O O
10. Graham Sharman ( Australia ) 1:05.406	O B-PER E-PER O S-LOC O O
Greek president dissolves parliament for snap vote .	S-MISC O O O O O O O
goals for , against , points ) :	O O O O O O O O
-- Sydney Newsroom 61-2 9373-1800	O O O O O
Soyoil solvent market delivery 30,700-30,800	O O O O O
Police said they made 30 arrests and there were two stabbings .	O O O O O O O O O O O O
Battersby said he was satisfied with the security arrangements .	S-PER O O O O O O O O O
TORONTO 60 69 .465 14	O O O O O
A teachers ' union , the Federation Syndicale Unitaire ( FSU ) , called for members to protest against job cuts expected in the government 's austerity budget due to be unveiled in September .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
Allen said the commission could announce the names of subpoenaed persons on Monday next week .	S-PER O O O O O O O O O O O O O O O
Two of the corpses were identified but not the third , found headless and decomposed in a sack in a nearby canal .	O O O O O O O O O O O O O O O O O O O O O O O
Software services company Keane Inc said it had won a year 2000 compliance contract from Life Insurance Co of Georgia and Southland Life Insurance Co , both part of The Netherlands ' ING Group .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O
There is still the summer malaise hanging over the market . "	O O O O O O O O O O O O
Still , the feisty Indonesian got off to a 3-0 lead in the tie-breaker before a pair of costly double faults gave Graf her chance to avoid a third set .	O O O O S-MISC O O O O O O O O O O O O O O O O O S-PER O O O O O O O O
The firm has signed an agreement with the Polish Development Bank ( PBR ) to manage the issue and plans them to be listed on the Warsaw bourse 's bond market .	O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O
Sparta win 10-1 on aggregate .	O O O O O O
Lancashire then reached 210 for five at the close -- just four ahead -- after Neil Fairbrother hit 55 in 60 balls to add to his first innings of 86 .	O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O
Werder Bremen 3 0 1 2 4 6 1	O O O O O O O O O
Mypa-47 win 2-1 on aggregate .	O O O O O O
219 Eamonn Darcy ( Ireland ) 74 76 69 , Bob May ( U.S. ) 74 75 70 ,	O B-PER E-PER O S-LOC O O O O O B-PER E-PER O S-LOC O O O O O
Ajax Amsterdam 2 1 0 1 1 2 3	O O O O O O O O O
Thomas Johansson ( Sweden ) beat Renzo Furlan ( Italy ) 4-6 2-6 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
SOCCER - BAYERN HIT FOUR TO TAKE BUNDESLIGA TOP SPOT .	O O O O O O O S-MISC O O O
PRECIOUS METALS	O O
A conman who painted common Australian parrots with dye to make them look like rare birds worth thousands of dollars was jailed for fraud on Tuesday .	O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O
Tom Daschle -- Daschle , 48 , was largely unknown outside Washington and his state of South Dakota when he surprisingly beat more prominent rivals to become Senate Democratic leader after the party lost its majority to the Republicans in 1994 .	B-PER E-PER O S-PER O O O O O O O S-LOC O O O O B-LOC E-LOC O O O O O O O O O O S-MISC O O O O O O O O O S-MISC O O O
69 74	O O
Its workers are staging protests in the town 's main square demanding June and July wages and last year 's holiday pay .	O O O O O O O O O O O O O O O O O O O O O O O
TAIPEI 1996-08-27	S-LOC O
Scoreboard of the	O O O
Eight killed in Moscow casino blaze .	O O O S-LOC O O O
Sales 3.30 3.17 2.75	O O O O
Pete Wilson , who said local and state governments cannot fight illegal drugs alone .	B-PER E-PER O O O O O O O O O O O O O
JOHANNESBURG 1996-08-26	S-LOC O
Ipswich , Port Vale v Oxford , Reading v Stoke , Southend v	O O O O O O O O O O O O O
Reuters has not verified these stories and does not vouch for their accuracy .	O O O O O O O O O O O O O O
Rita Grande ( Italy ) beat Alexia Dechaume-Balleret ( France ) 6-3 6-0	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
In Kansas City , Jose Offerman 's single with two out in the 12th inning scored Johnny Damon with the winning run and lifted the Kansas City Royals to a 4-3 victory over the Texas Rangers .	O B-LOC E-LOC O B-PER E-PER O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O
Russian troops began to pull out from southern Chechnya on Sunday under a ceasefire agreement between Russian security chief Alexander Lebed and rebel leaders .	S-MISC O O O O O O O S-LOC O O O O O O O S-MISC O O B-PER E-PER O O O O
13. Christian Meidlinger ( Austria ) 1:05.850	O B-PER E-PER O S-LOC O O
( Note - contents are displayed in reverse order to that in the printed Journal )	O O O O O O O O O O O O O O O O
That was not the amnesty committee where perpetrators are expected to open their hearts and souls and to tell it all . "	O O O O O O O O O O O O O O O O O O O O O O O
" The current account deficit of around two percent of GDP is a sustainable level of deficit given the expected real growth rate and the trends in imports and exports , " Rangarajan said in an address to business leaders in New Delhi .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O B-LOC E-LOC O
Brazilian striker Marcelo scored a hat-trick as PSV Eindhoven maintained their 100 percent record and stayed on top of the Dutch first division with a 3-1 win at Volendam on Wednesday .	S-MISC O S-PER O O O O O O O O O O O O O O O O O S-MISC O O O O O O O S-LOC O O O
The Security Council on Friday asked Iraq to stop blocking arms inspectors search for concealed weapons or materials they believe were being shuttled around to avoid detection .	O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O
Further plans , he said , called for full provision of resources like fertiliser and herbicides for 25 percent of Ukraine 's arable land next year , for 50 percent in 1998 and 100 percent of the land in 1999 .	O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O
MATURITY SER A SER B SER A SER B	O O O O O O O O O
Briton held in Thailand over 4.4 kg heroin find .	S-MISC O O S-LOC O O O O O O
2. Smets 290	O S-PER O
Hanwha 57 1 49 .537 6 1/2	O O O O O O O
The spot riyal was put at 3.7504 / 06 to the dollar .	O O O O O O O O O O O O O
2. Patricia Djate ( France ) 4:02.26	O B-PER E-PER O S-LOC O O
Lamm is a friend of President Clinton and supported him in the 1992 election .	S-PER O O O O O S-PER O O O O O O O O
- Order book ( billions ) 2.37 vs 2.01	O O O O O O O O O
NEW YORK 1996-08-28	B-LOC E-LOC O
4 - Marcelo Rios ( Chile ) beat Kenneth Carlsen ( Denmark ) 6-3 6-2	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Sales 8.67 vs 9.33	O O O O
NEW YORK 1996-08-22	B-LOC E-LOC O
Burnley 2 Walsall 1	O O O O
Jordanian Prime Minister Abdul-Karim al-Kabariti began talks with Palestinian President Yasser Arafat in the West Bank on Thursday on the stalled Middle East peace process , officials said .	S-MISC O O B-PER E-PER O O O S-MISC O B-PER E-PER O O B-LOC E-LOC O O O O O B-LOC E-LOC O O O O O O
U.S. corn gluten feed prices were flat while meal values were steady to firmer on Thursday .	S-LOC O O O O O O O O O O O O O O O O
4-6 6-4	O O
Iran accuses Iraq of ceasefire violations .	S-LOC O S-LOC O O O O
It was the sixth year in a row that China avoided censure at the U.N. 's main human rights forum .	O O O O O O O O O S-LOC O O O O O O O O O O O
4. Fogarty 236	O S-PER O
An ABC News poll released on Tuesday showed President Bill Clinton 's lead over Republican challenger Bob Dole stretching to 15 points in advance of the Nov. 5 election .	O O O O O O O O O B-PER E-PER O O O S-MISC O B-PER E-PER O O O O O O O O O O O O
BELGRADE 1996-08-28	S-LOC O
Still , the governor said the new law does not go as far as the state 's own welfare reform program , dubbed W-2 .	O O O O O O O O O O O O O O O O O O O O O O O S-MISC O
9. Olaf Ludwig ( Germany ) Telekom all same time	O B-PER E-PER O S-LOC O O O O O
The environment would be at risk from the polluters that control that coalition , " he said .	O O O O O O O O O O O O O O O O O O
Australian team manager Cam Battersby said he agreed with Ranatunga .	S-MISC O O B-PER E-PER O O O O S-PER O
DAY--COMPANY----PERIOD--CONSENSUS----RANGE-------PVS	O
4. Frederic Vialle ( France ) Yamaha	O B-PER E-PER O S-LOC O O
6-3 4-6 6-1	O O O
We will ask the ( EU ) scientific and veterinary committee to examine it , " Commission spokesman Gerard Kiely told Reuters .	O O O O O O O O O O O O O O O O O O B-PER E-PER O O O
15-6 15-2	O O
Everton 3 1 2 0 4 2 5	O O O O O O O O
" Sometimes you do n't have it in your head to play .	O O O O O O O O O O O O O
SEATTLE AT BALTIMORE	O O S-LOC
TEXAS 74 55 .574 -	O O O O O
The Tuesday morning attack on the consulate in Indonesias second largest city of Surabaya , caused slight damage to a guard house before being quickly extinguished , a spokesman at the U.S. embassy in Jakarta , 700 km ( 430 miles ) west of Surabaya , said on Wednesday .	O O O O O O O O S-MISC O O O O S-LOC O O O O O O O O O O O O O O O O O S-LOC O O S-LOC O O O O O O O O O S-LOC O O O O O
" It was very hard to sleep last night because there was so much I could accomplish with this win , " said Mickelson , who had a three-stroke lead entering the third round . "	O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O
Results of Polish first division	O O S-MISC O O
PRETORIA , Aug 25 - Captain Sean Fitzpatrick and his All Blacks revisited the test venue today to relive some of the magic moments of yesterday 's momentous rugby victory over South Africa , NZPA reported .	S-LOC O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O
19 die as bus falls in river in Pakistani Kashmir .	O O O O O O O O B-LOC E-LOC O
It said Craig Held has also joined the company as executive vice president and chief marketing officer .	O O B-PER E-PER O O O O O O O O O O O O O O
Painted parrot scam lands Australian in jail .	O O O O S-MISC O O O
CYCLING - KELLY WINS WORLD TIME TRIAL TITLE .	O O S-PER O O O O O O
73 Ross McFarlane , Domingo Hospital ( Spain ) , Seve Ballesteros	O B-PER E-PER O B-PER E-PER O S-LOC O O B-PER E-PER
But it slammed Damascus for creating what it called a dangerous atmosphere .	O O O S-LOC O O O O O O O O O
-- Message of unity from the conservative New Democracy party as former prime minister Constantine Mitsotakis and Miltiadis Evert shake hands	O O O O O O O O O O O O O O B-PER E-PER O B-PER E-PER O O
67 not out ) v Hampshire .	O O O O O O O
Reuters historical calendar - September 4 .	O O O O O O O
TEXAS AT MINNESOTA	O O S-LOC
Standard Liege 3 Molenbeek 0	O O O O O
[ CORRECTED 05:53 GMT ]	O O O S-MISC O
The right-handed batsman will have to forfeit half the money he was due to earn from the tour , the news agency said after a disciplinary committee set up by the Board of Control for Cricket in India met at Mohali , near the northern city of Chandigarh .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O S-LOC O
The group began the U.S. tour , which is scheduled to last until September 18 , with a concert in Chicago on Tuesday at which Noel Gallagher filled in for his brother as lead singer .	O O O O S-LOC O O O O O O O O O O O O O O O S-LOC O O O O B-PER E-PER O O O O O O O O O
seconds	O
Millwall 3 1 1 1 5 4 4	O O O O O O O O
Former world 800 champion Mutola pushed Masterkova all the way , finishing second in 2:29.66 .	O O O O S-PER O S-PER O O O O O O O O O
The central bank 's insistent intervention just above the 820 level convinced players that it is serious about supporting the won .	O O O O O O O O O O O O O O O O O O O O O O
They were trading unchanged just before the release of figures but closed 2.40 guilders down at 80.70 after it reported net profits of 34.9 million guilders against 36.6 million last year and estimates ranging from 37.5 to 47.2 million .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Muratovic is also due to meet with President Suleyman Demirel , Foreign Minister Tansu Ciller and Turkish businessman , the ministry official said .	S-PER O O O O O O O B-PER E-PER O O O B-PER E-PER O S-MISC O O O O O O O
Guinea launches war on fictitious civil servants .	S-LOC O O O O O O O
Perry , a Liberian Senate member during the 1980s , returned to Monrovia on August 22 after West African leaders nominated her for the job under a peace deal signed in Nigeria 's capital Abuja five days earlier .	S-PER O O S-MISC O O O O O O O O S-LOC O O O O B-MISC E-MISC O O O O O O O O O O O O S-LOC O O S-LOC O O O O
PHILADELPHIA 53 79 .402 29 1/2	O O O O O O
Choudhury also was president of the 41st session of the U.N. General Assembly in 1986-87 .	S-PER O O O O O O O O O O O O O O O
The current NATO-led peace force ( IFOR ) in Bosnia is due to return home at the end of the year .	O O S-MISC O O O O O O S-LOC O O O O O O O O O O O O
Her fever has since abated and the heart failure has been brought under control , but her heart continues to beat irregularly , doctors said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Egypt to press Britain over Islamist conference .	S-LOC O O S-LOC O S-MISC O O
" The government is ready to guarantee security of the Maoist representatives who want to take part in peaceful dialogue , " Khadga said .	O O O O O O O O O O S-MISC O O O O O O O O O O O S-PER O O
The two Davis Cup team-mates were pitted against each other after last week 's controversial redraw of the men 's singles competition .	O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O
Rugby union-England given final chance to stay in Five Nations .	O S-MISC O O O O O O B-MISC E-MISC O
3. Brian Wellman ( Bermuda ) 17.05	O B-PER E-PER O S-LOC O O
NAC Breda 1 NEC Nijmegen 1	O O O O O O
CRICKET - INDIA WIN TOSS AND BAT AGAINST SRI LANKA .	O O S-LOC O O O O O B-LOC E-LOC O
DTD : 09/01/96 SURE BID : N	O O O O O O O
2. Martens	O S-PER
Markets in central India would be closed for a local religious holiday on Wednesday .	O O O S-LOC O O O O O O O O O O O
Traders said positive comment from investment banks Merrill Lynch and SBC Warburg also fueled the gains .	O O O O O O O O O O O O O O O O O
soccer matches on Saturday :	O O O O O
The rate closed at T$ 27.482 against Wednesday 's T$ 27.495 .	O O O O S-MISC O O O O S-MISC O O
$ 450,000 Toshiba Classic tennis tournament on Thursday ( prefix	O O B-MISC E-MISC O O O O O O
Norwich 3 2 0 1 4 3 6	O O O O O O O O
ATLANTA 4 Chicago 3	O O O O
Men 's 1,500 metres	O O O O
Latest opinion polls on German political parties .	O O O O S-MISC O O O
In San Diego , Joey Hamilton allowed two hits over seven innings and Rickey Henderson hit his major league-record 69th leadoff homer as the San Diego Padres defeated the Philadelphia Phillies 7-1 for their fifth win in six games .	O B-LOC E-LOC O B-PER E-PER O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O
Attendance 11,000 .	O O O
Aberdeen 4 Hearts 0	O O O O
Crystal Palace 2 1 0 1 3 2 3	O O O O O O O O O
