S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
Globo quoted Pessina 's lawyer as saying he had already been imprisoned in Italy and , when freed , travelled to Brazil .	S-ORG O S-PER O O O O O O O O O O S-LOC O O O O O O O S-LOC O
Burnley 1 Shrewsbury 3	S-ORG O S-ORG O
The bullish comments for the coming year soothed analysts and most shareholders , who were disappointed by the lower than expected profit for 1995/96 .	O O O O O O O O O O O O O O O O O O O O O O O O O
SOCCER - ENGLISH LEAGUE RESULTS / STANDINGS .	O O S-MISC O O O O O
Castleford 22 9 0 13 548 599 18	S-ORG O O O O O O O
Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .	O S-PER O B-PER E-PER O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O
Harding says others have done the same . "	S-PER O O O O O O O O
Police arrested the man and charged him with drink-driving , but then iscovered he was wanted by the Immigration Service as an overstayer .	O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O O O
Results of German first division	O O S-MISC O O
I did n't miss that many shots and he was making the mistakes . "	O O O O O O O O O O O O O O O
After the defeat of the resolution , drafted by the European Union and the United States , China 's Foreign Ministry thanked 26 countries for backing its motion for " no action " on the document .	O O O O O O O O O O B-ORG E-ORG O O B-LOC E-LOC O S-LOC O B-ORG E-ORG O O O O O O O O O O O O O O O O
$ 450,000 Toshiba Classic tennis tournament on Sunday ( prefix	O O B-MISC E-MISC O O O O O O
More hostages freed from hijacked Sudanese plane .	O O O O O S-MISC O O
It said violations included constructing observation posts , installing mortars and anti-aircraft cannons , setting up tents , penetrating Iranian territory , and firing rifle grenades towards Iranian territory .	O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O S-MISC O O
( Apr 26 ) ( Jul 17 )	O O O O O O O O
" The letter said the party would assault the embassy , other South Korean-related facilities and Korean nationals unless our authorities released arrested students , " he said .	O O O O O O O O O O O O B-MISC E-MISC O O S-MISC O O O O O O O O O O O O
It also cited the potential problem of a two-tiered market in which market makers quote one price to public investors while quoting better prices in private systems , thus robbing investors without access to " hidden " quotes the benefit of the best available prices .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
LONDON 1996-08-23	S-LOC O
64 runs .	O O O
2. Inga Babakova ( Ukraine ) 2.03	O B-PER E-PER O S-LOC O O
Strasbourg 1 Le Havre 0	S-ORG O B-ORG E-ORG O
The U.S. Defense Logistics Agency set Thursday 's offering price for stockpile tin at $ 2.7975 per lb , versus $ 2.7775 per lb yesterday .	O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O
Reeve , an accomplished rider who owned several horses , suffered multiple injuries including two shattered neck vertebrae when he was thrown from his horse at an equestrian event in Culpepper , Virginia , on May 27 , 1995 .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O S-LOC O O O O O O O
------------------------	O
Results from the	O O O
Republic ) 7-5 6-3	S-LOC O O O
The loss of Sosa , who appeared in all 124 games this season , is a huge blow to the Cubs ' playoff hopes .	O O O S-PER O O O O O O O O O O O O O O O O S-ORG O O O O
Budget deficit ( HUF ) Jan-July 102 bln ( Jan-June 122 bln )	O O O O O O O O O O O O O
Mushtaq Ahmed 3 5 1 44 20 11.00	B-PER E-PER O O O O O O
SEATTLE 69 63 .523 5 1/2	S-ORG O O O O O
O'Meara 73 71 69 71 , Jim Furyk 75 69 67 73 , Justin Leonard 69	S-PER O O O O O B-PER E-PER O O O O O B-PER E-PER O
" Anyone who would come in there to replace him would have awfully big shoes to fill . "	O O O O O O O O O O O O O O O O O O O
average ) :	O O O
7 - Todd Martin ( U.S. ) beat 9 - Cedric Pioline ( France ) 2-6 6-2	O O B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O
Guzman ( 10-8 ) won for the first time since July 16 , a span of six starts .	S-PER O O O O O O O O O O O O O O O O O O
Since taking over from Jack Charlton in February , McCarthy has played largely experimental sides and seen them lose five times , draw twice and win just once .	O O O O B-PER E-PER O O O S-PER O O O O O O O O O O O O O O O O O O O
Finland beat the Czech Republic	S-LOC O O B-LOC E-LOC
Best Products Co Chairman and Chief Executive Daniel Levy said Thursday he expected the company 's second-quarter results to be similar to the $ 34.6 million loss posted in the first quarter .	B-ORG I-ORG E-ORG O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O
SBC Warburg said it is maintaining its forecast for five percent growth in rental incomes during 1996 , but it has shaved its forecast for capital growth to five percent from six .	B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
COLOMBO 1996-08-29	S-LOC O
PARIS 1996-08-29	S-LOC O
The embassy official said the three men , believed to be in their 20s , were currently in Abu Dhabi .	O O O O O O O O O O O O O O O O O O B-LOC E-LOC O
Bowling :	O O
" The plant is functioning as usual , " Jose Manuel Prieto , director of personnel , told Spanish state television .	O O O O O O O O O B-PER I-PER E-PER O O O O O O S-MISC O O O
PSV Eindhoven 2 2 0 0 8 2 6	B-ORG E-ORG O O O O O O O
The demonstrators , said by police to number 6,000 , also urged the release of Nadarajah Muralidaran , Swiss-based leader of the the Tamil Tiger guerrillas , who has been held in a Zurich jail since April on charges of extortion .	O O O O O O O O O O O O O O O B-PER E-PER O S-MISC O O O O B-ORG E-ORG O O O O O O O O S-LOC O O O O O O O O
Hillary Rodham Clinton saw her husband and daughter off on the trip in Huntington , West Virginia and then went on to Chicago to begin a rigorous Democratic Convention schedule .	B-PER I-PER E-PER O O O O O O O O O O S-LOC O B-LOC E-LOC O O O O O S-LOC O O O O B-MISC E-MISC O O
They want to silence your voices in elections . "	O O O O O O O O O O
Chairman Mohamed Fahim Rayyan told a news conference at Cairo airport : " The control tower should have allocated the plane another runway , instead of the one the plane landed on . "	O B-PER I-PER E-PER O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
unless stated ) :	O O O O
this artificial atmosphere is very dangerous because those who spread it could become its prisoners , " Levy said .	O O O O O O O O O O O O O O O O O S-PER O O
Jordanian PM Kabariti leaves for West Bank .	S-MISC O S-PER O O B-LOC E-LOC O
TUE McCarthy YR DIV 36.8 32.0-43.0 28.0	O S-ORG O O O O O
Barter deals were worth $ 4.9 billion last year , or about eight percent of all Russian exports estimated at $ 61.5 billion , she said .	O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O
Is this fair to an employee who can go the distance but is on a team that ca n't keep up ?	O O O O O O O O O O O O O O O O O O O O O O
7 ( 151 ) Melbourne 11.12 ( 78 )	O O O O S-ORG O O O O
Zhemchuzhina Sochi 25 8 4 13 26 38 28	B-ORG E-ORG O O O O O O O
England have been given a final chance to remain in the Five Nations ' championship despite striking an exclusive television deal with Rupert Murdoch 's Sky television .	S-LOC O O O O O O O O O O B-MISC E-MISC O O O O O O O O O B-PER E-PER O S-ORG O O
GAK 6 1 3 2 8 10 6	S-ORG O O O O O O O
Extras 9	O O
A second Belgian was also seriously injured but the hospital spokesman said his life was not in danger .	O O S-MISC O O O O O O O O O O O O O O O O
None of our basic precepts have been challenged . "	O O O O O O O O O O
81 Seiki Okuda ( Japan )	O B-PER E-PER O S-LOC O
The 53-year-old Johnson was hospitalized after experiencing dizziness .	O O S-PER O O O O O O
Ferro Carril Oeste 0 Independiente 3	B-ORG I-ORG E-ORG O S-ORG O
UNITED NATIONS 1996-08-22	B-ORG E-ORG O
WASHINGTON 1996-08-27	S-LOC O
It uses the former Sudanese embassy .	O O O O S-MISC O O
The foot , which washed up on Sullivan 's Island beach this month , was amputated three years ago from a child whose legs were deformed .	O O O O O O O B-LOC I-LOC E-LOC O O O O O O O O O O O O O O O O O
More drilling results are expected soon .	O O O O O O O
11. Johnny Herbert ( Britain ) Sauber 1:56.318	O B-PER E-PER O S-LOC O S-ORG O
5. Patrick Stevens ( Belgium ) 20.42	O B-PER E-PER O S-LOC O O
U.S. marine biologists have trained a pair of sea lions to tag and photograph elusive whales as they cruise through the Pacific depths , New Scientist magazine reported on Thursday .	S-LOC O O O O O O O O O O O O O O O O O O O O S-LOC O O B-ORG E-ORG O O O O O
The surge reflected strong demand from the beverage can and housing construction sectors , federation officials said .	O O O O O O O O O O O O O O O O O O
" That 's a perennial problem .	O O O O O O O
" America wants to block the establishment of a strong Islamic government in Afghanistan and the U.S. intends to neutralise the Afghan peace process initiated by the Afghans themselves , " said the spokesman , Hamid Ibrahimi .	O S-LOC O O O O O O O O S-MISC O O S-LOC O O S-LOC O O O O S-MISC O O O O O S-MISC O O O O O O O B-PER E-PER O
A. Stewart lbw b Waqar Younis 48	B-PER E-PER O O B-PER E-PER O
MANCHESTER , England 1996-08-28	S-LOC O S-LOC O
R. Irani not out 6	B-PER E-PER O O O
Interacciones brokerage on Monday raised its forecasts for 1996 gross domestic product growth to 4.3 percent from 3.8 percent , but it kept its 1997 projection unchanged at 4.5 percent , a statement said .	S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
CRICKET - ENGLAND V PAKISTAN FINAL TEST SCOREBOARD .	O O S-LOC O S-LOC O O O O
W L PCT GB	O O O O
PARIS 1996-08-27	S-LOC O
Jiul Petrosani , promoted to the first division this year , won the league game 1-0 .	B-ORG E-ORG O O O O O O O O O O O O O O O
Net foreign debt May $ 14,390.7 million ( April $ 15,704.3 million )	O O O O O O O O O O O O O
DUBLIN 1996-08-23	S-LOC O
3. William Tanui ( Kenya ) 3:33.36	O B-PER E-PER O S-LOC O O
Looking at market prospects , he said : " I think our best judgment at this stage is that it will probably bumble along in the rather mixed way it 's been in the first half . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Nathalie Dechy ( France ) beat Christina Singer ( Germany ) 6-4 6-0	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
" I would love to speak about everything , " said Simpson , who vowed after his acquittal to find the killers and offered a substantial reward .	O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O
SATURDAY , AUGUST 24TH SCHEDULE	O O O O O
Tarak Das , 70 , was picked up from a Calcutta footpath a week ago by passers-by who took pity on him and brought him to Nirmal Hriday ( Immaculate Home ) .	B-PER E-PER O O O O O O O O S-LOC O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O
At its convention four years ago , organizers prevented then Pennsylvania Gov .	O O O O O O O O O O S-LOC O O
PARIS 1996-08-28	S-LOC O
Penrith 21 6 1 14 339 448 13	S-ORG O O O O O O O
Michael Tebbutt ( Australia ) beat Richey Reneberg ( U.S. ) 3-6	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O
Monterrey 4 1 1 2 2 5 4	S-ORG O O O O O O O
1. Marty Nothstein ( U.S. ) , last 200 metres in 10.982 seconds .	O B-PER E-PER O S-LOC O O O O O O O O O
Now organisations must change to stay competitive .	O O O O O O O O
1948 - Wilhelmina , Queen of the Netherlands from 1890 and throughout World Wars One and Two abdicated in favour of her daughter Juliana .	O O S-PER O O O O S-LOC O O O O B-MISC I-MISC E-MISC O S-MISC O O O O O O S-PER O
6. Federico Colonna ( Italy ) Mapei 27	O B-PER E-PER O S-LOC O S-ORG O
BELGRADE 1996-08-29	S-LOC O
First , Sohail , after making 48 , was bowled by Croft as he stepped back to try and hit through the off-side .	O O S-PER O O O O O O O O S-PER O O O O O O O O O O O O
8. Videoton 3 1 1 1 7 5 4	O S-ORG O O O O O O O
17,024,000 18,174,000 31,834,000 24,137,000	O O O O
( players U.S. unless stated ) :	O O S-LOC O O O O
The 30-share DAX index in Frankfurt closed up 4.32 at 2,563.16 .	O O S-MISC O O S-LOC O O O O O O
Some say that 's too old for an athlete , " he said .	O O O O O O O O O O O O O O
Dhaka stocks end up on gains by engineering , banks .	S-LOC O O O O O O O O O O
But as Lauck was about to be led away , he turned to reporters and blurted out a virtually incomprehensible quick-fire diatribe against the court .	O O S-PER O O O O O O O O O O O O O O O O O O O O O O O
" I hope I can get into the last 16 , " said Hingis , seeded to face third seed Arantxa Sanchez Vicario in the fourth round .	O O O O O O O O O O O O O S-PER O O O O O O B-PER I-PER E-PER O O O O O
Mostostal plans to use the proceeds from the issues to add companies to its holding and modernise its plant .	S-ORG O O O O O O O O O O O O O O O O O O O
Quarracino and other Church leaders are regular critics of the government 's free-market economic policy .	S-PER O O O O O O O O O O O O O O O
Gencor swells profit despite setbacks .	S-ORG O O O O O
Iranian security forces have broken up five espionage rings in northwestern Iran and arrested 41 people on charges of spying for unnamed countries , a daily newspaper said on Thursday .	S-MISC O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O
HAARETZ	S-ORG
The July index matched the reading for July , 1995 .	O O O O O O O O O O O
9. Lamont Smith ( U.S. ) 21.08	O B-PER E-PER O S-LOC O O
Croatian Foreign Minister Mate Granic landed at Belgrade airport aboard a Croatian government jet on Friday morning for talks with his Yugoslav counterparts and a signing ceremony expected around noon ( 1000 GMT ) .	S-MISC O O B-PER E-PER O O S-LOC O O O S-MISC O O O O O O O O O S-MISC O O O O O O O O O O S-MISC O O
Hasina told police the home ministry had already given a " blanket order " to arrest terrorists and possessors of illegal firearms irrespective of their political identities .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
Brussels organisers had laid a new track for the meeting comparable to the surface at the Atlanta Games but put down on a softer surface .	S-LOC O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O
Polish President Aleksander Kwasniewski and his Slovenian counterpart , Milan Kucan , met for talks at the start of a two-day visit to Slovenia by Kwasniewski .	S-MISC O B-PER E-PER O O S-MISC O O B-PER E-PER O O O O O O O O O O O O S-LOC O S-PER O
State : CO	O O S-LOC
Hansa Rostock 0 Hamburg 1	B-ORG E-ORG O S-ORG O
Halftime 0-1 .	O O O
Lugano 9 1 4 4 6 15 7	S-ORG O O O O O O O
5. Federico Colonna ( Italy ) Mapei	O B-PER E-PER O S-LOC O S-ORG
" I do n't think we should immediately draw a conclusion that the economic recovery has come to a halt or that signs of a economic contraction have emerged , " Kubo said . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O
3. Alex Belometti ( Italy ) Honda	O B-PER E-PER O S-LOC O S-ORG
NEW YORK 1996-08-28	B-LOC E-LOC O
McCurry said that when Clinton delivers his acceptance address on Thursday night to fellow Democrats and a national television audience , he will " set out a road map " for the nation 's future -- one the president hopes guides him back to the White House for four more years .	S-PER O O O S-PER O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O
Reliever Mark Acre ( 0-1 ) took the loss .	O B-PER E-PER O O O O O O O
Kryvbas 6 1 1 4 5 9 4	S-ORG O O O O O O O
52 not out ) v Glamorgan .	O O O O O S-ORG O
BUDAPEST 1996-08-26	S-LOC O
" We need all the help we can get .	O O O O O O O O O O
14. Martin Brundle ( Britain ) 3	O B-PER E-PER O S-LOC O O
RESEARCH ALERT - Unitog Co upgraded .	O O O B-ORG E-ORG O O
W L PCT GB	O O O O
Pro Forma :	O O O
Chonbuk 0 0 0 0 0 0	S-ORG O O O O O O
" These charges are the interpretation of the church , " Garang said on Tuesday . "	O O O O O O O O O O O S-PER O O O O O
Liverpool 0 Sunderland 0	S-ORG O S-ORG O
Borussia Dortmund 3 Freiburg 1	B-ORG E-ORG O S-ORG O
" I would like to no ( sic ) if you are still in slavery if you are , it will not be long before we shall have crushed the system that now oppreses you for in the course of three months you shall have your liberty .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Swansea 1 Lincoln 2	S-ORG O S-ORG O
Belgium 's Kredietbank has approved a $ 6.5 million loan to India 's Welspun Stahl Rohren Ltd ( WSRL ) to part-finance its submerged arc welded pipes plant , the Indian company said in a statement on Wednesday .	S-LOC O S-ORG O O O O O O O O S-LOC O B-ORG I-ORG I-ORG E-ORG O S-ORG O O O O O O O O O O O S-MISC O O O O O O O O
" I hate you f... ing lot , yet you 're always asking me too many things .	O O O O O O O O O O O O O O O O O O
Net foreign debt 14,278.9 14,390.7	O O O O O
The government declined official comment .	O O O O O O
" This is an individual case and I do n't have any evidence linking the suspects to any other cases , " Laasonen said .	O O O O O O O O O O O O O O O O O O O O O O S-PER O O
Halifax 22 10 1 11 667 576 21	S-ORG O O O O O O O
The shutdown of the 220 KV lines reduced by 500 megawatts ( MW ) the amount of power which the area received from SoCal Edison 's 1,200 MW Sierra hydroelectric facility , he said .	O O O O O O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O O S-LOC O O O O O O
Kuperman added that options other than postponement were also on the table , but she refused to specify what they were .	S-PER O O O O O O O O O O O O O O O O O O O O O
- Pakistan and Iran have agreed to expand and strengthen political , trade and economic relations .	O S-LOC O S-LOC O O O O O O O O O O O O O
Footscray 21 5 1 15 1578 2060 76.6 22	S-ORG O O O O O O O O
Eager to put Lauck behind bars quickly and avoid a long and complex trial , prosecutor Bernd Mauruschat limited his charges to offences since 1994 .	O O O S-PER O O O O O O O O O O O O B-PER E-PER O O O O O O O O
Manchester United 2 Blackburn 2	B-ORG E-ORG O S-ORG O
63 Raymond Russell	O B-PER E-PER
Happy Birthday to our Dearest Mother , " read a placard at the Shishu Bhavan children 's home in central Calcutta run by Mother Teresa 's Missionaries of Charity .	O O O O O O O O O O O O O B-ORG E-ORG O O O O O S-LOC O O B-PER E-PER O B-ORG I-ORG E-ORG O
Sydney Tigers 21 11 0 10 309 435 22	B-ORG E-ORG O O O O O O O
" He ( Agassi ) should be seeded the way he is playing tennis right now , " said Stich about the unfairness of moving up Agassi , who made early exits from the French Open and Wimbledon .	O O O S-PER O O O O O O O O O O O O O O O S-PER O O O O O O S-PER O O O O O O O B-MISC E-MISC O S-MISC O
" Gas oil will remain tight in the short term up to mid-September with the premium of around $ 1 for 0.5 percent ( sulphur material ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
SOCCER - BRAZILIAN CHAMPIONSHIP RESULTS .	O O S-MISC O O O
Kiev 's Foreign Minister Hennady Udovenko said Beijing was overreacting .	S-LOC O O O B-PER E-PER O S-LOC O O O
MILAN 1996-08-29	S-LOC O
CHICAGO 1996-08-27	S-LOC O
ATLANTA 81 48 .628 -	S-ORG O O O O
South Queensland 21 4 0 17 210 460 8	B-ORG E-ORG O O O O O O O
Karin Kschwendt ( Austria ) beat Sandra	B-PER E-PER O S-LOC O O S-PER
Turnings , clean and dry 43 to 44 cents / pound	O O O O O O O O O O O
Shane Kelly of Australia retained the world one-kilometre time trial title at the world track championships on Wednesday , with a track record time of one minute 2.777 seconds .	B-PER E-PER O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
The 20-year-old Rubin , who was to be seeded 11th , is still suffering from tendinitis of the right wrist that has kept her sidelined in recent months .	O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
three matches ) :	O O O O
WASHINGTON 1996-08-27	S-LOC O
Natural Law Party says it can meditate problems away .	B-ORG I-ORG E-ORG O O O O O O O
For Nov 11-25 from the U.S. Gulf or Nov 26 - Dec 10 from PNW it paid $ 0.8584 per bushel over CBOT January soybeans and for Dec 6-20 or Dec 21 - Jan it paid $ .8787 over CBOT January .	O O O O O B-LOC E-LOC O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O
SOCCER - MEXICAN CHAMPIONSHIP RESULTS / STANDINGS .	O O S-MISC O O O O O
America , however , is looking a little better , " he said .	S-LOC O O O O O O O O O O O O O
Mentmore Abbey said on Tuesday that merger discussions were taking place with the board of British Data Management , an information resource management and archive storage company .	B-ORG E-ORG O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O O
2. Isaac Viciosa ( Spain ) 3:33.00	O B-PER E-PER O S-LOC O O
* Salomon Brothers Inc analyst is bullish on International Business Machines Corp .	O B-ORG I-ORG E-ORG O O O O B-ORG I-ORG I-ORG E-ORG O
NWE oil products mixed , holiday dulls trade .	O O O O O O O O O
Basuki , a first-round loser here for the fifth consecutive year , was clearly going for winners , hitting the lines and running Graf around the court as she broke the top seed twice in the second set to grab that shocking 5-2 lead .	S-PER O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O O O
Xhelili said Paul Thompson , 34 , from Wiltshire , was arrested on Sunday in a hotel in the Adriatic resort of Durres , 45 km ( 30 miles ) west of Tirana .	S-PER O B-PER E-PER O O O O S-LOC O O O O O O O O O O S-MISC O O S-LOC O O O O O O O O O S-LOC O
Scorers :	O O
Becej 3 2 1 0 5 1 7	S-ORG O O O O O O O
